WREG0     0000
WREG1     0002
WREG2     0004
WREG3     0006
WREG4     0008
WREG5     000A
WREG6     000C
WREG7     000E
WREG8     0010
WREG9     0012
WREG10    0014
WREG11    0016
WREG12    0018
WREG13    001A
WREG14    001C
WREG15    001E
SPLIM     0020
PCL       002E
PCH       0030
DSRPAG    0032
DSWPAG 0034
RCOUNT    0036
SR        0042
CORCON    0044
DISICNT   0052
TBLPAG    0054

CNPD1 0056
CNPD2 0058
CNPD3 005A
CNPD4 005C
CNPD5 005E
CNPD6 0060
CNEN1 0062
CNEN2 0064
CNEN3 0066
CNEN4 0068
CNEN5 006A
CNEN6 006C
CNPU1 006E
CNPU2 0070
CNPU3 0072
CNPU4 0074
CNPU5 0076
CNPU6 0078

INTCON1 0080
INTCON2 0082
IFS0    0084
IFS1    0086
IFS2    0088
IFS3    008A
IFS4    008C
IFS5    008E
IFS6    0090
IEC0    0094
IEC1    0096
IEC2    0098
IEC3    009A
IEC4    009C
IEC5    009E
IEC6    00A0
IPC0    00A4
IPC1    00A6
IPC2    00A8
IPC3    00AA
IPC4    00AC
IPC5    00AE
IPC6    00B0
IPC7    00B2
IPC8    00B4
IPC9    00B6
IPC10   00B8
IPC11   00BA
IPC12   00BC
IPC13   00BE
IPC15   00C2

IPC16   00C4
IPC18   00C8
IPC19   00CA
IPC20   00CC
IPC21   00CE
IPC22   00D0
IPC23   00D2
IPC25   00D6
INTTREG 00E0

TMR1    0100
PR1     0102
T1CON   0104
TMR2    0106
TMR3HLD 0108
TMR3    010A
PR2     010C
PR3     010E
T2CON   0110
T3CON   0112
TMR4    0114
TMR5HLD 0116
TMR5    0118
PR4     011A
PR5     011C
T4CON   011E
T5CON   0120

IC1CON1 0140
IC1CON2 0142
IC1BUF  0144
IC1TMR  0146
IC2CON1 0148
IC2CON2 014A
IC2BUF  014C
IC2TMR  014E
IC3CON1 0150
IC3CON2 0152
IC3BUF  0154
IC3TMR  0156
IC4CON1 0158
IC4CON2 015A
IC4BUF  015C
IC4TMR  015E
IC5CON1 0160
IC5CON2 0162
IC5BUF  0164
IC5TMR  0166
IC6CON1 0168
IC6CON2 016A
IC6BUF  016C
IC6TMR  016E
IC7CON1 0170
IC7CON2 0172
IC7BUF  0174
IC7TMR  0176
IC8CON1 0178
IC8CON2 017A
IC8BUF  017C
IC8TMR  017E
IC9CON1 0180
IC9CON2 0182
IC9BUF  0184
IC9TMR  0186

OC1CON1 0190
OC1CON2 0192
OC1RS   0194
OC1R    0196
OC1TMR  0198
OC2CON1 019A
OC2CON2 019C
OC2RS   019E
OC2R    01A0
OC2TMR  01A2
OC3CON1 01A4
OC3CON2 01A6
OC3RS   01A8
OC3R    01AA
OC3TMR  01AC
OC4CON1 01AE
OC4CON2 01B0
OC4RS   01B2
OC4R    01B4
OC4TMR  01B6
OC5CON1 01B8
OC5CON2 01BA
OC5RS   01BC
OC5R    01BE
OC5TMR  01C0
OC6CON1 01C2
OC6CON2 01C4
OC6RS   01C6
OC6R    01C8
OC6TMR  01CA
OC7CON1 01CC
OC7CON2 01CE
OC7RS   01D0
OC7R    01D2
OC7TMR  01D4

OC8CON1 01D6
OC8CON2 01D8
OC8RS   01DA
OC8R    01DC
OC8TMR  01DE
OC9CON1 01E0
OC9CON2 01E2
OC9RS   01E4
OC9R    01E6
OC9TMR  01E8

I2C1RCV  0200
I2C1TRN  0202
I2C1BRG  0204
I2C1CON  0206
I2C1STAT 0208
I2C1ADD  020A
I2C1MSK  020C
I2C2RCV  0210
I2C2TRN  0212
I2C2BRG  0214
I2C2CON  0216
I2C2STAT 0218
I2C2ADD  021A
I2C2MSK  021C
I2C3RCV  0270
I2C3TRN  0272
I2C3BRG  0274
I2C3CON  0276
I2C3STAT 0278
I2C3ADD  027A
I2C3MSK  027C

U1MODE  0220
U1STA   0222
U1TXREG 0224
U1RXREG 0226
U1BRG   0228
U2MODE  0230
U2STA   0232
U2TXREG 0234
U2RXREG 0236
U2BRG   0238
U3MODE  0250
U3STA   0252
U3TXREG 0254
U3RXREG 0256
U3BRG   0258
U4MODE  02B0
U4STA   02B2
U4TXREG 02B4
U4RXREG 02B6
U4BRG   02B8

SPI1STAT 0240
SPI1CON1 0242
SPI1CON2 0244
SPI1BUF  0248
SPI2STAT 0260
SPI2CON1 0262
